node_id,x,y
154791079,-82.3807222,38.4024794
154791117,-82.435498,38.4102924
154791118,-82.4342472,38.4105114
154791119,-82.4337629,38.410596
154791120,-82.4335288,38.410636
154791122,-82.4314787,38.410997
154791174,-82.4222707,38.4284349
154791177,-82.4218868,38.4271015
154791179,-82.4218059,38.4268039
154791183,-82.4210415,38.4240116
154791187,-82.4204827,38.4220854
154791188,-82.4204568,38.4219471
154791190,-82.4200973,38.4206517
154791202,-82.4196293,38.4189919
154791209,-82.4188792,38.4163135
154791211,-82.4185015,38.4149707
154791213,-82.4183165,38.4143034
154791216,-82.4181882,38.4131604
154791790,-82.3935241,38.3995785
154791800,-82.3947425,38.3987524
154791825,-82.4071969,38.4144703
154791827,-82.4065141,38.4134964
154791870,-82.4187972,38.4224057
154791907,-82.39043,38.4269841
154791908,-82.389377,38.4267894
154791909,-82.3879566,38.4265803
154791917,-82.4568182,38.4156836
154791919,-82.4551055,38.4159679
154791922,-82.4524153,38.4164344
154791924,-82.4516343,38.4165707
154791926,-82.4499287,38.4168687
154791928,-82.4465235,38.4174628
154791930,-82.4448166,38.4177567
154791932,-82.4431121,38.4180558
154791934,-82.4414081,38.4183552
154791937,-82.4397037,38.4186514
154791939,-82.4379314,38.4189578
154791941,-82.4362302,38.4192552
154791943,-82.434523,38.4195539
154791945,-82.4328161,38.4198483
154791947,-82.4311063,38.4201415
154791949,-82.4293408,38.4204515
154791953,-82.4273035,38.420808
154791955,-82.4255819,38.4210792
154791958,-82.4221651,38.4216525
154791967,-82.3982316,38.425844
154791969,-82.39708,38.4260405
154791971,-82.3948132,38.4264312
154791973,-82.3933579,38.426692
154791979,-82.4077043,38.4341008
154791981,-82.4057161,38.434449
154791985,-82.4044336,38.4346431
154792010,-82.3849303,38.4214864
154793031,-82.4692912,38.4168894
154793032,-82.4689405,38.4158444
154793033,-82.4685902,38.4147988
154793034,-82.4683913,38.4141957
154793038,-82.4680876,38.4132731
154793041,-82.4667759,38.4102268
154793046,-82.4229346,38.40785
154793047,-82.4214332,38.407744
154793136,-82.4371008,38.4131372
154793163,-82.4283674,38.397426
154793169,-82.4317566,38.4034766
154793186,-82.4317067,38.4017893
154793322,-82.428816,38.3966099
154793398,-82.445807,38.4149407
154793405,-82.4480178,38.4227482
154793409,-82.4472899,38.4201921
154793411,-82.4461441,38.4161239
154793413,-82.4459514,38.4154303
154793418,-82.3586413,38.4180389
154793419,-82.3585729,38.417563
154793420,-82.3585183,38.4172046
154793421,-82.3584723,38.4168779
154793423,-82.3583869,38.41632
154793429,-82.3582131,38.4150876
154793435,-82.4456752,38.4144585
154793437,-82.4449247,38.4117819
154793439,-82.4445464,38.410439
154793440,-82.4437881,38.4077534
154793441,-82.4434977,38.4067015
154793452,-82.4575847,38.4184015
154793455,-82.4598528,38.4179023
154793457,-82.4613462,38.4175385
154793461,-82.4658653,38.4165211
154793462,-82.4716019,38.4152071
154793463,-82.4722336,38.4150412
154793464,-82.473669,38.414665
154793465,-82.4747163,38.4143942
154793466,-82.4757781,38.414115
154793468,-82.4771962,38.4137441
154793469,-82.4787151,38.413344
154793473,-82.4802465,38.4129352
154793478,-82.4818597,38.412502
154793484,-82.4874469,38.4110186
154793486,-82.4879104,38.4108961
154793489,-82.4899415,38.4103575
154793491,-82.4917258,38.4098799
154793493,-82.4927015,38.4096225
154793495,-82.4953502,38.4089136
154793588,-82.4133463,38.3991912
154793591,-82.4128662,38.3992529
154793647,-82.4268251,38.4255279
154793649,-82.4234223,38.426125
154793654,-82.4374441,38.4237159
154793658,-82.4340731,38.4242907
154793748,-82.4324577,38.3936048
154793834,-82.4356589,38.3889919
154794065,-82.4267004,38.4018482
154794067,-82.4275768,38.4012817
154794086,-82.3906213,38.4028524
154794291,-82.4510562,38.4036984
154794347,-82.4521471,38.4002512
154794632,-82.4516207,38.4038934
154794637,-82.4361249,38.3997197
154794660,-82.437232,38.3979347
154794668,-82.4371288,38.3975511
